Area,perimeter,major_axis_length,Minor_axis_length,eccentricity,convex_area,extent,class
15303,505.9280090332031,209.6199188232422,94.1570053100586,0.8934414386749268,15746,0.6246122717857361,1
14060,496.0350036621094,211.37551879882812,85.93526458740234,0.9136273860931396,14448,0.6725985407829285,1
12682,459.9649963378906,195.4355010986328,83.60432434082031,0.9038806557655334,12892,0.582812488079071,1
13059,456.4410095214844,185.9820098876953,90.20448303222656,0.874504566192627,13339,0.6194384098052979,1
14557,492.4129943847656,205.1066436767578,91.4497299194336,0.8951005935668945,14961,0.7356478571891785,1
13582,476.6659851074219,199.45188903808594,88.40869903564453,0.8963939547538757,13825,0.5689987540245056,1
13678,472.12298583984375,200.2535400390625,88.02668762207031,0.8982053399085999,13879,0.578840434551239,1
11589,449.3609924316406,196.64669799804688,75.97959899902344,0.9223412871360779,11783,0.5629280805587769,1
13681,485.4129943847656,205.00643920898438,86.4876708984375,0.9066526889801025,14146,0.5598936080932617,1
13919,482.3489990234375,204.29425048828125,87.654052734375,0.9032769799232483,14274,0.7489776015281677,1
13439,477.75,199.38160705566406,87.62736511230469,0.8982446789741516,13852,0.7512437701225281,1
13693,479.47900390625,200.3972930908203,88.1744613647461,0.8979986310005188,14097,0.6952525973320007,1
13870,484.12701416015625,203.4182586669922,88.50323486328125,0.9003917574882507,14266,0.7565179467201233,1
15285,516.4669799804688,216.2804412841797,91.34656524658203,0.9064317345619202,15704,0.5878846049308777,1
16263,546.56201171875,230.9595489501953,91.65092468261719,0.9178935289382935,16796,0.5712328553199768,1
14295,489.2149963378906,203.30189514160156,90.60995483398438,0.8951865434646606,14660,0.6066972017288208,1
14720,494.86199951171875,207.09271240234375,91.49889373779297,0.8971008658409119,15071,0.7040030360221863,1
15550,505.76300048828125,211.3788299560547,94.41613006591797,0.8946998715400696,15896,0.7188424468040466,1
15189,506.8219909667969,209.18954467773438,93.61980438232422,0.8942660093307495,15629,0.6740780472755432,1
12832,464.5260009765625,196.61117553710938,83.98688507080078,0.9041701555252075,13148,0.5629057884216309,1
14146,481.1860046386719,202.5872039794922,89.94490051269531,0.8960361480712891,14495,0.6036012768745422,1
13006,486.7070007324219,213.1280517578125,78.45640563964844,0.9297788143157959,13399,0.6224455833435059,1
15196,501.3030090332031,212.3297576904297,92.00544738769531,0.9012430310249329,15463,0.7684061527252197,1
14517,488.3240051269531,196.16448974609375,95.58290100097656,0.8732575178146362,14976,0.5951297283172607,1
13964,480.0260009765625,199.82313537597656,90.06546783447266,0.8926624059677124,14298,0.6577484607696533,1
12414,453.38299560546875,188.5623016357422,85.32583618164062,0.8917606472969055,12721,0.5881739854812622,1
13818,475.0169982910156,198.49920654296875,89.095703125,0.893608808517456,14008,0.5960144996643066,1
11530,458.7120056152344,197.87550354003906,75.38201904296875,0.9245928525924683,11918,0.7003158330917358,1
